题干,选项A,选项B,选项C,选项D,选项E
X线穿过均匀物质时，其强度呈下述何种方式衰减：（   ）,对数关系,指数关系,线性关系,无任何关系,以上都不是
下列有关像素的概念，描述正确的是：（   ）,像素就是体素,像素越小图像的分辨率越低,像素是一个三维概念,像素与体素之间没有关系,像素就是指CT图像中按矩阵排列分隔的基本组成单元
像素和体素不准确的概念是：（   ）,像素实际上是体素在成像时的表现,体素是被按矩阵排列分隔的基本组成单元,体素是一个三维概念,像素越小图像的分辨率相对越高,CT图像的基本组成单元称为体素
下列关于窗位的概念，描述正确的是：（   ）,窗位相当于显示灰阶的中心,窗位规定所显示CT值的范围,不同机器的窗位值不同,窗位与所显示的组织CT值无关,通常窗位选择以水的CT值为标准
下列关于窗宽的概念，描述正确的是：（   ）,窗宽规定了所显示灰阶的中心,窗宽规定了所显示的CT值的范围,通常CT机的窗宽都是固定的,窗宽越大，组织的对比分辨率越高,窗宽包括所有组织的显示范围
影像后处理技术的内容不包括：（   ）,显示不同平面，有助于观察病变与组织的关系,使影像更富有立体感和真实感,用虚拟现实技术部分替换有创的检查,加大所需显示的组织结构的灰阶对比,提高了影像的空间分辨率
假如某物质的X线衰减系数为30，水的X线衰减系数为20，则该物质的CT值为：（   ）,500HU,600HU,50HU,800HU,1500HU
准直后穿过人体的X线经探测器转换所得到的数据，称之为：（   ）,显示数据,重建数据,原始数据,数模转换数据,图像存储数据
CT减少运动伪影的有效措施是：（   ）,加强患者呼吸训练,去除患者身上的金属异物,减小层厚,提高扫描速度,不同的重建方法
人眼能区别的灰阶数目为：（   ）,8,10,12,16,32
螺旋CT的X线管旋转为360度/秒，床速为10mm/秒，准直器为10mm时，其pitch（螺距）比值为,0.5,0.1,1,10,100
CT准直器位于X线管前端的X线出口处，其宽度决定,扫描范围,相邻扫描层面的距离,扫描层面的厚度,X线管焦点距离,以上都不是
下列哪种伪影是由致密结构或金属引起的,环形伪影,条纹状伪影,放射状伪影,图像杂乱伪影,以上都不是
矩阵256[SB2.gif]、显示野6.4cm与矩阵512[SB2.gif]、显示野12.8cm，两种图像的像素大小,相等,前者较后者大,前者较后者小,前者1mm，后者2mm,前者0.25mm，后者0.125mm
CT值的定义是以（   ）的衰减系数为标准来计算各种组织的CT值,空气,水,骨,脑组织,以上都不是
以下哪一项不引起静脉窦血栓：（   ）,肿瘤如矢状窦旁脑膜瘤,感染性病变如脑膜炎、脑炎,头部严重外伤,贫血,脑梗死
瘤卒中不同于急性脑出血的CT表现是：（   ）,前者高密度，后者低密度,前者病变局限，后者病变广泛,前者不并发脑疝，后者并发脑疝,前者有占位效应，后者无占位效应,前者水肿程度重，后者水肿程度轻
与高血压脑出血比较，脑淀粉样变性出血好发于：（   ）,基底节,脑室旁,脑干,皮质,小脑
新鲜脑出血的CT值一般为：（   ）,20～40HU,30～50HU,40～60HU,50～70HU,60～80HU
一般脑血肿多少天后可以进入低密度期：（   ）,10天,20天,30天,60天,90天
以下哪一种结构不属于大脑半球：（   ）,嗅脑,岛叶,苍白球,海马,丘脑
大脑半球分界不清的部位是：（   ）,额颞顶交界区,中央区,基底节区,颞顶枕交界区,颞岛交界区
双侧大脑半球最大的连接结构是：（   ）,胼胝体,透明隔,脑干,大脑镰,内囊
额顶叶的分界为：（   ）,中央前回,中央后回,中央沟,中央前沟,中央后沟
额叶和顶叶的分界是：（   ）,中央后沟,中央前回,中央后回,外侧裂,中央沟
下列有关脑干解剖描述，正确的是：（   ）,锥体交叉位于延髓的背侧面,中脑从前向后为大脑脚、顶盖和被盖,顶盖与被盖之间以黑质为界,桥臂经小脑中脚进入小脑,中脑上丘为听觉反射中枢
下列有关增强扫描的正确描述为：（   ）,脑膜瘤的特征是有血脑屏障结构的增强,星形细胞瘤的特征是无血脑屏障结构的增强,血管外增强是指对比剂进入组织细胞外间隙,星形细胞瘤增强幅度大于血管网织细胞瘤,对疑有颅脑肿瘤患者应先行增强扫描
下列有关脑膜的描述中错误的是哪一项：（   ）,脑膜由外向内为硬脑膜、蛛网膜和软脑膜,硬膜与颅骨内板之间的间隙称硬膜外腔,脑膜中动脉走行于硬膜内外层之间,硬膜内层向内折叠形成大脑镰、小脑幕,软脑膜伸入沟裂
额叶下部血肿破裂，出血动脉是：（   ）,颈内动脉,大脑前动脉,大脑中动脉,大脑前、中动脉,大脑后动脉
脑室内囊虫多位于：（   ）,第四脑室,第三脑室,侧脑室额角,侧脑室三角区,侧脑室下角
减轻或消除CT图像部分容积效应，可采用方法,提高扫描矩阵,较小扫描层厚,骨算法重建,提高扫描X线条件,加大扫描层距
超快速CT扫描是指,螺旋CT扫描,动态扫描,电子束CT扫描,快速进床扫描,以上均不是
螺旋CT与传统CT最主要的区别是,快速扫描,动态扫描,同层扫描,体积扫描,以上均不是
当窗宽为200，窗位为300时，其CT值显示范围为,100～500,50～450,200～400,150～550,200～250
不属于CT基本设备,计算机和数据采集、阵列处理系统,照相机和其他用于资料的存储设备,扫描架、扫描床和X线发生系统,操作台和独立计算机设备系统,独立诊断台和独立计算机设备系统
颌面外伤CT检查最好选用：（   ）,轴位、冠状位平扫和增强扫描,轴位、冠状位、软组织窗和骨窗,轴位、软组织窗和骨窗,冠状位、软组织窗和骨窗,轴位平扫和增强扫描
常规耳颞骨CT扫描使用：（   ）,轴位，基底线为上眶耳线，层厚1～1.5mm,轴位，基底线为下眶耳线，层厚1～1.5mm,轴位，基底线为上眶耳线，层厚10～15mm,矢状位，层厚2～4.5mm,冠状位，层厚10～15mm
在CT图像上，颌后静脉是以下哪些结构分界的解剖标志：（   ）,腮腺与颌下腺,腮腺与腺样体,腮腺与颚扁桃体,颌下腺与颚扁桃体,腮腺深叶与浅叶
面神经管常分为几段：（   ）,2段,3段,4段,5段,6段
面神经管在颞骨内走行呈：（   ）,直线,1曲2段,2曲3段,2曲4段,弧形
"患者，女，52岁，右侧乳腺癌术后2年余，发现左侧颈部无痛性肿物1年。CT平扫示：左侧颈部不规则肿物，类椭圆形，边缘模糊不清，呈分叶征，大小约16cm×6cm，密度不均匀，可见密度减低区。增强扫描轻度强化。首选的诊断是：（   ）

[YS398_140_1.gif]",淋巴结转移瘤,淋巴瘤,甲状腺癌,颈淋巴结核,神经纤维瘤
题干,选项A,选项B,选项C,选项D,选项E
X线穿过均匀物质时，其强度呈下述何种方式衰减：（   ）,对数关系,指数关系,线性关系,无任何关系,以上都不是
下列有关像素的概念，描述正确的是：（   ）,像素就是体素,像素越小图像的分辨率越低,像素是一个三维概念,像素与体素之间没有关系,像素就是指CT图像中按矩阵排列分隔的基本组成单元
像素和体素不准确的概念是：（   ）,像素实际上是体素在成像时的表现,体素是被按矩阵排列分隔的基本组成单元,体素是一个三维概念,像素越小图像的分辨率相对越高,CT图像的基本组成单元称为体素
下列关于窗位的概念，描述正确的是：（   ）,窗位相当于显示灰阶的中心,窗位规定所显示CT值的范围,不同机器的窗位值不同,窗位与所显示的组织CT值无关,通常窗位选择以水的CT值为标准
下列关于窗宽的概念，描述正确的是：（   ）,窗宽规定了所显示灰阶的中心,窗宽规定了所显示的CT值的范围,通常CT机的窗宽都是固定的,窗宽越大，组织的对比分辨率越高,窗宽包括所有组织的显示范围
影像后处理技术的内容不包括：（   ）,显示不同平面，有助于观察病变与组织的关系,使影像更富有立体感和真实感,用虚拟现实技术部分替换有创的检查,加大所需显示的组织结构的灰阶对比,提高了影像的空间分辨率
假如某物质的X线衰减系数为30，水的X线衰减系数为20，则该物质的CT值为：（   ）,500HU,600HU,50HU,800HU,1500HU
准直后穿过人体的X线经探测器转换所得到的数据，称之为：（   ）,显示数据,重建数据,原始数据,数模转换数据,图像存储数据
CT减少运动伪影的有效措施是：（   ）,加强患者呼吸训练,去除患者身上的金属异物,减小层厚,提高扫描速度,不同的重建方法
人眼能区别的灰阶数目为：（   ）,8,10,12,16,32
螺旋CT的X线管旋转为360度/秒，床速为10mm/秒，准直器为10mm时，其pitch（螺距）比值为,0.5,0.1,1,10,100
CT准直器位于X线管前端的X线出口处，其宽度决定,扫描范围,相邻扫描层面的距离,扫描层面的厚度,X线管焦点距离,以上都不是
下列哪种伪影是由致密结构或金属引起的,环形伪影,条纹状伪影,放射状伪影,图像杂乱伪影,以上都不是
矩阵256[SB2.gif]、显示野6.4cm与矩阵512[SB2.gif]、显示野12.8cm，两种图像的像素大小,相等,前者较后者大,前者较后者小,前者1mm，后者2mm,前者0.25mm，后者0.125mm
CT值的定义是以（   ）的衰减系数为标准来计算各种组织的CT值,空气,水,骨,脑组织,以上都不是
以下哪一项不引起静脉窦血栓：（   ）,肿瘤如矢状窦旁脑膜瘤,感染性病变如脑膜炎、脑炎,头部严重外伤,贫血,脑梗死
瘤卒中不同于急性脑出血的CT表现是：（   ）,前者高密度，后者低密度,前者病变局限，后者病变广泛,前者不并发脑疝，后者并发脑疝,前者有占位效应，后者无占位效应,前者水肿程度重，后者水肿程度轻
与高血压脑出血比较，脑淀粉样变性出血好发于：（   ）,基底节,脑室旁,脑干,皮质,小脑
新鲜脑出血的CT值一般为：（   ）,20～40HU,30～50HU,40～60HU,50～70HU,60～80HU
一般脑血肿多少天后可以进入低密度期：（   ）,10天,20天,30天,60天,90天
以下哪一种结构不属于大脑半球：（   ）,嗅脑,岛叶,苍白球,海马,丘脑
大脑半球分界不清的部位是：（   ）,额颞顶交界区,中央区,基底节区,颞顶枕交界区,颞岛交界区
双侧大脑半球最大的连接结构是：（   ）,胼胝体,透明隔,脑干,大脑镰,内囊
额顶叶的分界为：（   ）,中央前回,中央后回,中央沟,中央前沟,中央后沟
额叶和顶叶的分界是：（   ）,中央后沟,中央前回,中央后回,外侧裂,中央沟
下列有关脑干解剖描述，正确的是：（   ）,锥体交叉位于延髓的背侧面,中脑从前向后为大脑脚、顶盖和被盖,顶盖与被盖之间以黑质为界,桥臂经小脑中脚进入小脑,中脑上丘为听觉反射中枢
